0.70	25.10	-0.12	0.32	-0.07	0.22	-0.05	-0.10	-0.32	0.35	-0.49	8.60	1.30	37300.00	4.90	34.90	39.00	5.00	3673.73
0.65	22.90	-0.24	0.27	0.03	0.22	0.00	-0.12	-0.47	0.71	-0.85	0.10	1.91	124500.00	2.50	34.90	9.00	3.00	2481.54
0.69	32.60	-0.08	0.03	0.00	0.22	-0.07	0.01	-0.18	0.36	-0.32	4.10	1.58	24500.00	4.20	27.30	103.00	35.00	19876.62
0.69	27.00	0.05	0.50	0.14	0.26	0.07	0.08	-0.30	0.40	-0.69	4.50	1.75	27800.00	4.10	41.20	1172.00	122.00	143888.00
0.71	27.00	0.06	0.62	0.19	0.34	0.17	0.01	-0.20	0.23	-0.65	2.10	1.20	93900.00	3.30	45.90	45.00	11.00	5535.26
0.68	24.80	-0.01	0.47	0.14	0.17	-0.02	0.06	-0.34	0.65	-0.93	5.40	1.40	33000.00	4.20	23.70	36.00	17.00	5439.32
0.78	22.70	-0.06	0.57	0.09	0.28	-0.03	0.04	-0.48	0.75	-1.01	8.00	1.57	34400.00	5.70	24.40	40.00	5.00	2074.79
0.74	25.00	0.07	0.35	0.21	0.18	0.10	0.19	-0.24	0.66	-0.81	14.55	1.33	38300.00	5.00	35.90	261.00	83.00	46397.66
0.82	23.40	-0.04	0.56	0.30	0.25	0.17	-0.01	-0.39	0.56	-0.79	6.00	1.85	51500.00	7.00	24.90	46.00	30.00	9763.57
0.79	23.00	0.06	0.43	0.20	0.28	0.15	0.13	-0.26	0.61	-0.89	2.40	1.54	61400.00	5.40	29.50	102.00	24.00	8319.77
0.71	24.60	-0.12	0.37	0.01	0.09	-0.06	-0.03	-0.40	0.51	-0.59	1.00	1.48	17900.00	5.80	44.50	179.00	40.00	68657.60
0.72	27.00	-0.23	0.35	0.01	0.22	-0.01	-0.18	-0.49	0.57	-0.63	5.10	1.75	31400.00	3.80	34.90	12.00	1.00	1360.09
0.63	38.50	0.06	0.52	0.07	0.09	-0.12	0.06	-0.32	0.41	-0.80	15.40	2.20	11800.00	6.20	40.00	197.00	7.00	11273.66
0.62	36.30	-0.08	0.16	-0.10	0.15	0.01	0.08	-0.33	0.70	-0.76	10.80	2.05	26900.00	2.90	40.20	183.00	92.00	78271.47
0.65	37.40	-0.26	0.13	0.00	0.20	-0.02	-0.07	-0.48	0.82	-0.84	1.72	1.75	67700.00	1.30	34.90	63.00	15.00	9154.30
0.76	29.40	0.00	0.14	0.21	0.29	0.17	0.13	-0.21	0.53	-0.63	4.00	1.80	44100.00	5.60	32.40	280.00	142.00	65397.08
0.74	24.60	0.07	0.48	0.19	0.29	0.20	0.09	-0.21	0.44	-0.76	3.70	1.80	59500.00	5.60	45.00	3257.00	1041.00	319929.16
0.68	27.00	0.10	0.49	0.05	0.05	-0.06	0.15	-0.24	0.56	-0.90	8.70	2.00	22400.00	2.90	41.60	40.00	5.00	3431.55
0.69	36.40	-0.04	0.52	-0.06	0.22	0.07	-0.04	-0.34	0.41	-0.77	2.20	1.95	6900.00	6.60	34.80	132.00	18.00	93571.57
